station_id,station_name,year,month,Rain > 5mm Days,Rain > 10mm Days,Wind > 40km/h Days
91490,Christmas / Cassidy,2024,1,6,5,0
93004,Cape Reinga,2024,1,4,1,7
93069,Mokohinau Aws,2024,1,1,0,1
93110,Auckland Aerodrome Aws,2024,1,3,0,0
93112,Whenuapai,2024,1,5,2,0
93119,Auckland Airport,2024,1,7,3,0
93186,Tauranga Aerodrome Aws,2024,1,7,4,0
93196,Hicks Bay Aws,2024,1,7,4,1
93201,Port Taharoa,2024,1,6,4,0
93245,Taupo Aws,2024,1,6,2,0
93291,Gisborne Aerodrome,2024,1,5,3,0
93292,Gisborne Aerodrome Aws,2024,1,5,5,0
93308,New Plymouth Aerodrome,2024,1,0,0,0
93309,New Plymouth Aws,2024,1,6,3,0
93339,Waiouru Airstrip / Waiouru Military Camp,2024,1,8,3,0
93373,Napier Aerodrome Aws,2024,1,7,5,0
93401,Ohakea,2024,1,6,1,0
93404,Palmerston North Aws,2024,1,7,1,0
93420,Paraparaumu Aws,2024,1,3,1,0
93436,Wellington Airport,2024,1,1,0,0
93439,Wellington Aerodrome Aws,2024,1,0,0,0
93498,Castlepoint,2024,1,1,1,3
93515,Westport Aerodrome,2024,1,8,7,0
93527,Farewell Spit Aws,2024,1,3,2,0
93597,Cape Campbell Aws,2024,1,2,1,4
93614,Hokitika Aerodrome,2024,1,11,8,0
93615,Hokitika Aerodrome Aws,2024,1,0,0,0
93678,Kaikoura,2024,1,3,3,0
93709,Haast Aws,2024,1,15,13,0
93747,Tara Hills,2024,1,8,3,0
93773,Timaru Aerodrome Aws,2024,1,4,2,0
93780,Christchurch,2024,1,5,1,0
93781,Christchurch Aerodrome Aws,2024,1,3,1,0
93800,Secretary Island Aws,2024,1,16,11,1
93805,Puysegur Point Aws,2024,1,12,9,7
93830,Queenstown / Frankton,2024,1,3,2,0
93831,Queenstown Aerodrome,2024,1,7,6,0
93845,Invercargill Airport Aws,2024,1,10,3,0
93890,Dunedin Aerodrome,2024,1,0,0,0
93891,Dunedin Aerodrome Aws,2024,1,6,2,0
93909,South West Cape Aws,2024,1,12,5,15
93929,Enderby Island Aws,2024,1,10,7,2
93947,Campbell Island Aws,2024,1,9,8,5
93985,Chatham Island Aero Aws,2024,1,0,0,0
93994,Raoul Island Kermadec Island,2024,1,5,4,4
93997,"Raoul Island, Kermadec Island",2024,1,9,4,4
NZNS0,Nelson / Monaco,2024,1,3,0,0
