time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,station_id,station_name,month,year
2024-01-01,28.0,25.8,29.2,0.8,0.0,44.0,4.3,,1010.6,,91490,Christmas / Cassidy,1,2024
2024-01-02,28.4,25.6,31.0,0.3,0.0,37.0,7.6,,1010.0,,91490,Christmas / Cassidy,1,2024
2024-01-03,28.5,26.7,31.8,0.0,0.0,91.0,10.8,,1010.0,,91490,Christmas / Cassidy,1,2024
2024-01-04,28.9,26.3,31.4,2.0,0.0,99.0,9.0,,1008.5,,91490,Christmas / Cassidy,1,2024
2024-01-05,29.0,26.3,31.3,0.3,0.0,103.0,12.2,,1006.5,,91490,Christmas / Cassidy,1,2024
2024-01-06,28.5,26.2,30.9,1.3,0.0,108.0,13.3,,1008.5,,91490,Christmas / Cassidy,1,2024
2024-01-07,28.9,26.1,31.6,20.3,0.0,82.0,13.3,,1009.8,,91490,Christmas / Cassidy,1,2024
2024-01-08,28.1,26.7,30.5,2.5,0.0,102.0,14.8,,1009.4,,91490,Christmas / Cassidy,1,2024
2024-01-09,28.0,26.1,29.9,0.8,0.0,89.0,16.2,,1009.2,,91490,Christmas / Cassidy,1,2024
2024-01-10,28.9,27.0,30.7,0.0,0.0,87.0,15.1,,1008.8,,91490,Christmas / Cassidy,1,2024
2024-01-11,29.0,25.9,31.7,0.0,0.0,85.0,11.5,,1008.2,,91490,Christmas / Cassidy,1,2024
2024-01-12,29.3,25.9,30.6,2.5,0.0,105.0,14.8,,1008.3,,91490,Christmas / Cassidy,1,2024
2024-01-13,28.9,26.3,31.6,4.1,0.0,107.0,18.4,,1007.4,,91490,Christmas / Cassidy,1,2024
2024-01-14,29.1,25.9,30.2,14.5,0.0,99.0,20.9,,1006.2,,91490,Christmas / Cassidy,1,2024
2024-01-15,29.1,26.4,30.4,0.0,0.0,96.0,19.4,,1004.8,,91490,Christmas / Cassidy,1,2024
2024-01-16,28.6,25.7,30.5,0.0,0.0,101.0,15.5,,1004.9,,91490,Christmas / Cassidy,1,2024
2024-01-17,28.5,25.2,29.9,4.8,0.0,102.0,19.8,,1005.9,,91490,Christmas / Cassidy,1,2024
2024-01-18,28.7,25.6,30.0,1.5,0.0,100.0,26.6,,1006.1,,91490,Christmas / Cassidy,1,2024
2024-01-19,28.7,26.0,30.1,1.5,0.0,97.0,24.1,,1006.2,,91490,Christmas / Cassidy,1,2024
2024-01-20,27.8,26.4,30.9,0.0,0.0,87.0,24.1,,1006.3,,91490,Christmas / Cassidy,1,2024
2024-01-21,28.3,27.0,30.7,0.0,0.0,105.0,20.9,,1005.8,,91490,Christmas / Cassidy,1,2024
2024-01-22,28.9,24.8,30.7,8.9,0.0,108.0,20.2,,1005.8,,91490,Christmas / Cassidy,1,2024
2024-01-23,27.5,24.6,29.8,2.0,0.0,104.0,16.6,,1007.3,,91490,Christmas / Cassidy,1,2024
2024-01-24,28.1,25.1,30.5,1.8,0.0,71.0,16.9,,1008.5,,91490,Christmas / Cassidy,1,2024
2024-01-25,28.1,25.9,29.6,0.8,0.0,94.0,16.9,,1008.7,,91490,Christmas / Cassidy,1,2024
2024-01-26,28.3,25.0,28.0,13.7,0.0,96.0,21.6,,1008.2,,91490,Christmas / Cassidy,1,2024
2024-01-27,28.8,24.8,29.4,11.9,0.0,104.0,20.2,,1007.5,,91490,Christmas / Cassidy,1,2024
2024-01-28,28.2,25.3,29.9,3.6,0.0,107.0,17.6,,1007.9,,91490,Christmas / Cassidy,1,2024
2024-01-29,26.3,24.4,26.2,43.4,0.0,61.0,18.7,,1008.8,,91490,Christmas / Cassidy,1,2024
2024-01-30,27.2,25.2,29.2,1.5,0.0,86.0,20.2,,1009.3,,91490,Christmas / Cassidy,1,2024
2024-01-31,28.4,26.0,29.9,0.8,0.0,48.0,22.3,,1010.0,,91490,Christmas / Cassidy,1,2024
2024-01-01,17.8,15.4,20.7,6.1,,206.0,31.3,,1019.8,,93004,Cape Reinga,1,2024
2024-01-02,17.2,15.1,20.7,0.0,,188.0,28.3,,1021.5,,93004,Cape Reinga,1,2024
2024-01-03,17.3,14.8,20.7,0.1,,186.0,24.3,,1020.8,,93004,Cape Reinga,1,2024
2024-01-04,18.3,15.8,22.1,0.0,,186.0,19.7,,1018.3,,93004,Cape Reinga,1,2024
2024-01-05,17.5,15.9,19.5,0.0,,243.0,14.3,,1013.6,,93004,Cape Reinga,1,2024
2024-01-06,17.6,16.0,19.9,1.8,,247.0,33.0,,1012.1,,93004,Cape Reinga,1,2024
2024-01-07,18.2,16.0,21.7,0.0,,188.0,36.3,,1018.9,,93004,Cape Reinga,1,2024
2024-01-08,19.0,17.0,22.2,1.2,,82.0,32.2,,1023.3,,93004,Cape Reinga,1,2024
2024-01-09,19.6,16.9,24.0,0.0,,77.0,30.3,,1023.2,,93004,Cape Reinga,1,2024
2024-01-10,20.0,16.9,23.9,0.0,,80.0,31.5,,1022.9,,93004,Cape Reinga,1,2024
2024-01-11,20.4,18.3,23.7,0.0,,77.0,33.9,,1023.9,,93004,Cape Reinga,1,2024
2024-01-12,21.2,18.4,24.8,0.1,,82.0,23.9,,1024.7,,93004,Cape Reinga,1,2024
2024-01-13,21.0,18.4,24.5,0.0,,73.0,29.4,,1023.6,,93004,Cape Reinga,1,2024
2024-01-14,20.8,18.8,23.7,0.0,,64.0,34.9,,1020.2,,93004,Cape Reinga,1,2024
2024-01-15,20.8,19.4,24.1,6.4,,28.0,27.1,,1016.3,,93004,Cape Reinga,1,2024
2024-01-16,19.7,18.5,20.5,25.5,,73.0,23.4,,1017.8,,93004,Cape Reinga,1,2024
2024-01-17,21.4,19.4,24.0,0.2,,73.0,42.8,,1019.0,,93004,Cape Reinga,1,2024
2024-01-18,21.3,19.5,24.5,0.0,,69.0,49.9,,1017.0,,93004,Cape Reinga,1,2024
2024-01-19,21.4,19.1,24.7,0.0,,70.0,42.6,,1015.2,,93004,Cape Reinga,1,2024
2024-01-20,21.7,19.7,24.7,0.1,,75.0,38.7,,1014.4,,93004,Cape Reinga,1,2024
2024-01-21,22.3,19.6,26.4,0.0,,103.0,24.3,,1011.5,,93004,Cape Reinga,1,2024
2024-01-22,21.0,19.1,24.0,0.0,,199.0,26.5,,1005.5,,93004,Cape Reinga,1,2024
2024-01-23,19.5,18.1,21.5,1.3,,284.0,32.4,,1003.9,,93004,Cape Reinga,1,2024
2024-01-24,18.3,17.0,20.5,0.0,,190.0,36.9,,1010.7,,93004,Cape Reinga,1,2024
2024-01-25,18.1,16.3,20.9,0.0,,192.0,39.6,,1012.3,,93004,Cape Reinga,1,2024
2024-01-26,18.2,15.8,21.6,0.0,,219.0,25.7,,1012.1,,93004,Cape Reinga,1,2024
2024-01-27,18.3,16.3,22.1,0.0,,295.0,23.7,,1010.0,,93004,Cape Reinga,1,2024
2024-01-28,19.2,16.6,20.2,5.5,,314.0,40.3,,1006.3,,93004,Cape Reinga,1,2024
2024-01-29,18.3,16.9,20.6,1.0,,220.0,45.1,,1002.9,,93004,Cape Reinga,1,2024
2024-01-30,18.8,17.2,21.2,0.0,,200.0,50.9,,1004.5,,93004,Cape Reinga,1,2024
2024-01-31,18.7,17.3,21.8,0.0,,209.0,46.8,,1005.7,,93004,Cape Reinga,1,2024
2024-01-01,19.1,17.3,21.2,4.2,,222.0,24.3,,1018.5,,93069,Mokohinau Aws,1,2024
2024-01-02,18.5,16.2,22.1,0.0,,205.0,19.9,,1021.0,,93069,Mokohinau Aws,1,2024
2024-01-03,18.6,16.8,20.8,0.0,,150.0,14.5,,1020.5,,93069,Mokohinau Aws,1,2024
2024-01-04,19.9,18.2,22.4,0.5,,98.0,13.1,,1018.7,,93069,Mokohinau Aws,1,2024
2024-01-05,19.8,18.6,21.6,0.3,,344.0,10.0,,1013.0,,93069,Mokohinau Aws,1,2024
2024-01-06,19.3,17.7,21.2,0.3,,279.0,18.2,,1011.5,,93069,Mokohinau Aws,1,2024
2024-01-07,19.8,17.8,22.7,0.0,,163.0,18.1,,1019.0,,93069,Mokohinau Aws,1,2024
2024-01-08,20.1,19.1,21.2,0.0,,75.0,23.5,,1025.3,,93069,Mokohinau Aws,1,2024
2024-01-09,20.3,18.2,23.6,0.0,,77.0,15.3,,1025.0,,93069,Mokohinau Aws,1,2024
2024-01-10,20.7,18.8,23.2,0.0,,97.0,18.8,,1025.0,,93069,Mokohinau Aws,1,2024
2024-01-11,20.9,19.5,23.0,0.0,,84.0,24.2,,1026.0,,93069,Mokohinau Aws,1,2024
2024-01-12,21.3,19.1,24.8,0.0,,60.0,8.2,,1025.7,,93069,Mokohinau Aws,1,2024
2024-01-13,21.2,19.6,23.4,0.0,,317.0,8.8,,1024.7,,93069,Mokohinau Aws,1,2024
2024-01-14,22.1,20.1,24.9,0.0,,334.0,10.0,,1021.8,,93069,Mokohinau Aws,1,2024
2024-01-15,21.1,18.7,22.5,0.8,,335.0,18.8,,1017.2,,93069,Mokohinau Aws,1,2024
2024-01-16,19.3,18.9,19.7,7.9,,96.0,11.2,,1019.6,,93069,Mokohinau Aws,1,2024
2024-01-17,21.5,19.9,23.6,0.1,,90.0,20.6,,1021.4,,93069,Mokohinau Aws,1,2024
2024-01-18,21.9,20.8,23.1,0.0,,75.0,22.3,,1020.0,,93069,Mokohinau Aws,1,2024
2024-01-19,22.0,21.1,23.2,1.3,,64.0,28.4,,1017.5,,93069,Mokohinau Aws,1,2024
2024-01-20,21.9,21.0,23.5,0.0,,79.0,20.7,,1016.7,,93069,Mokohinau Aws,1,2024
2024-01-21,21.8,20.9,24.2,0.2,,115.0,33.2,,1013.0,,93069,Mokohinau Aws,1,2024
2024-01-22,21.6,19.7,23.8,0.0,,167.0,25.3,,1003.8,,93069,Mokohinau Aws,1,2024
2024-01-23,21.2,20.3,22.0,1.3,,286.0,29.3,,1002.6,,93069,Mokohinau Aws,1,2024
2024-01-24,19.4,18.2,21.5,0.0,,186.0,22.6,,1009.7,,93069,Mokohinau Aws,1,2024
2024-01-25,19.4,17.8,21.6,0.3,,172.0,21.2,,1011.0,,93069,Mokohinau Aws,1,2024
2024-01-26,20.3,18.3,23.2,0.1,,182.0,14.7,,1011.4,,93069,Mokohinau Aws,1,2024
2024-01-27,20.1,18.6,21.3,0.0,,289.0,21.9,,1008.8,,93069,Mokohinau Aws,1,2024
